Alexandre Petrescu                                	       519	ipv6 (147), tm-rid (61), ietf (59), manycouches (53), its (47), v6ops (36), ietf-and-github (23), 6gip (18), 107attendees (16), 5gangip (15), 108attendees (10), dhcwg (8), hackathon (7), last-call (7), tools-discuss (7), 109attendees (6), int-area (6), architecture-discuss (3), iotops (1), xml2rfc (1)
Stephen Farrell                                   	       514	tls (71), ietf (69), eligibility-discuss (36), architecture-discuss (35), model-t (35), lake (33), last-call (31), rfced-future (31), manycouches (30), cfrg (25), add (14), saag (14), openpgp (13), secdir (13), covidimpacts-workshop (10), dnsop (10), wgchairs (10), chirp (8), dns-privacy (7), homenet (7), pearg (7), captive-portals (6), int-area (6), opsec (6), spasm (6), ietf108planning (5), secdispatch (5), tools-discuss (5), uta (5), hrpc (4), madinas (4), dispatch (3), emu (3), rfc-interest (3), tsvwg (3), crypto-panel (2), gen-art (2), gendispatch (2), ietf-dkim (2), iot-directorate (2), masque (2), quic (2), 108attendees (1), 6tisch (1), ace (1), art (1), core (1), detnet (1), httpbisa (1), pim (1), suit (1), tools-arch (1), venue-selection (1)
Joel M. Halpern                                   	       504	ipv6 (72), ietf (71), rfced-future (70), spring (70), last-call (35), lisp (31), sfc (31), teas (30), eligibility-discuss (28), gendispatch (16), wgchairs (15), lsr (13), gen-art (10), v6ops (8), architecture-discuss (7), manycouches (7), rfc-interest (7), 108attendees (6), anima (6), ietf-and-github (6), rtg-dir (4), teas-ns-dt (4), bess (3), mpls (3), secdir (3), srcomp (3), tsv-art (3), cellar (2), opsawg (2), tcpm (2), tlp-interest (2), apn (1), captive-portals (1), dmm (1), dnsop (1), idr (1), jmap (1), model-t (1), network-tokens (1), oauth (1), quic (1), rmcat (1)
Éric Vyncke                                       	       501	ipv6 (36), tm-rid (30), int-dir (23), iot-directorate (23), last-call (21), ietf (18), dhcwg (17), idr (17), dns-privacy (16), int-area (15), hipsec (13), anima (12), lp-wan (12), 6lo (10), dnssd (10), dots (10), ntp (10), bess (9), dnsop (9), captive-portals (8), mpls (8), regext (8), ippm (7), roll (7), secdir (7), spring (7), cbor (6), i2rs (6), ietf-and-github (6), lsr (6), taps (6), tcpm (6), tools-development (6), dmm (5), dtn (5), emu (5), v6ops (5), asdf (4), babel (4), i2nsf (4), id-event (4), ipsec (4), lisp (4), nfsv4 (4), rmcat (4), sfc (4), 6tisch (3), calsify (3), ccamp (3), core (3), cose (3), homenet (3), ice (3), lwip (3), mmusic (3), nvo3 (3), opsawg (3), pce (3), pilots-ag (3), pim (3), sipcore (3), apn (2), avt (2), cellar (2), detnet (2), ecrit (2), madinas (2), manycouches (2), mops (2), netmod (2), oauth (2), openpgp (2), raw (2), sidrops (2), spasm (2), suit (2), tsvwg (2), txauth (2), webtransport (2), wpack (2), 107attendees (1), add (1), bier (1), dispatch (1), extra (1), gen-art (1), httpapi (1), httpbisa (1), ietf108planning (1), jmap (1), perc (1), rtg-bfd (1), rtg-dir (1), sframe (1), stir (1), tls (1), uta (1), wgchairs (1), yang-doctors (1)
Ted Lemon                                         	       501	ipv6 (116), eligibility-discuss (110), add (69), v6ops (64), last-call (29), dnsop (23), dnssd (20), iotops (18), rfced-future (15), rfc-interest (14), tools-discuss (14), dhcwg (13), 108attendees (12), ietf (12), tls (10), 107attendees (8), spring (6), int-area (5), homenet (4), iot-directorate (4), lwip (4), manycouches (4), xml2rfc (4), architecture-discuss (3), dns-privacy (3), gendispatch (3), secdir (3), core (2), int-dir (2), cfrg (1), mtgvenue (1), mud (1), venue-selection (1)
Robert Wilton                                     	       484	netmod-ver-dt (122), netmod (68), yang-doctors (19), ccamp (17), netconf (17), opsawg (16), asdf (13), lsr (13), detnet (12), last-call (12), core (11), extra (10), cose (9), dhcwg (9), idr (9), ietf-and-github (9), anima (8), dnsop (8), bess (7), pim (7), regext (7), captive-portals (6), cbor (6), ietf (6), mpls (6), i2nsf (5), ipsec (5), v6ops (5), i2rs (4), ietf108planning (4), oauth (4), babel (3), dtn (3), emu (3), ieee-ietf-coord (3), rtg-bfd (3), sfc (3), sidrops (3), spasm (3), 6tisch (2), cellar (2), dots (2), emailcore (2), httpbisa (2), id-event (2), ippm (2), lisp (2), lwip (2), mud (2), rfc-interest (2), suit (2), tcpm (2), architecture-discuss (1), avt (1), bmwg (1), calsify (1), dime (1), dispatch (1), dns-privacy (1), iot-onboarding (1), iotops (1), lp-wan (1), nfsv4 (1), openpgp (1), pce (1), sframe (1), spring (1), taps (1), tsvwg (1), txauth (1), webtransport (1)
Barry Leiba                                       	       479	ietf (44), regext (28), last-call (26), calsify (24), extra (19), captive-portals (17), cose (15), cbor (13), core (13), gen-art (13), dispatch (12), httpapi (11), asdf (10), dnsop (9), idr (9), ietf-and-github (9), sipcore (9), avt (8), detnet (8), spasm (8), 6lo (7), dots (7), jmap (7), dhcwg (6), dtn (6), ecrit (6), webtransport (6), acme (5), doh (5), httpbisa (5), mpls (5), roll (5), secdir (5), 6tisch (4), add (4), alto (4), anima (4), art (4), emu (4), i18ndir (4), lp-wan (4), nfsv4 (4), architecture-discuss (3), babel (3), bess (3), cdni (3), cellar (3), dns-privacy (3), eligibility-discuss (3), emailcore (3), id-event (3), ippm (3), ntp (3), oauth (3), raw (3), sfc (3), sieve (3), spring (3), suit (3), taps (3), tcpm (3), txauth (3), v6ops (3), 107attendees (2), dnssd (2), ietf108planning (2), ipsec (2), jcardcal (2), json (2), jsonpath (2), lsr (2), lwip (2), mmusic (2), pim (2), rmcat (2), stir (2), uta (2), dmm (1), hipsec (1), i2nsf (1), ice (1), imapext (1), int-area (1), int-dir (1), ipv6 (1), manycouches (1), mboned (1), netmod (1), nvo3 (1), opsawg (1), perc (1), scim (1), sframe (1), tls (1), tm-rid (1), urn (1), wish (1), wpack (1)
Mohamed Boucadair                                 	       474	dots (199), tm-rid (51), sfc (41), opsawg (40), core (37), last-call (32), add (31), tcpm (24), yang-doctors (15), tsvwg (11), ipsec (10), teas (8), gen-art (7), loops (7), secdir (7), doh (5), madinas (5), panrg (4), teas-ns-dt (4), behave (3), dhcwg (3), tsv-art (3), dns-privacy (2), i2rs (2), int-area (2), netmod (2), quic (2), saag (2), anima (1), httpbisa (1), int-dir (1), ippm (1), lisp (1), rtg-dir (1), v6ops (1)
Christian Huitema                                 	       471	quic-issues (130), quic (103), ietf (37), rfced-future (32), last-call (28), tls (23), architecture-discuss (17), dns-privacy (17), dnssd (16), secdir (14), iccrg (9), masque (9), etosat (8), tcpm (7), tsvwg (7), 108attendees (6), tcpprague (6), add (5), i2rs (5), ipv6 (5), manycouches (5), model-t (5), pearg (5), dhcwg (4), gendispatch (4), network-tokens (4), rfc-interest (4), saag (4), apn (3), int-area (3), opsawg (3), captive-portals (2), dnsop (2), homenet (2), netmod (2), xml2rfc-dev (2), behave (1), iot-directorate (1), iotops (1), ippm (1), ntp (1), tsv-art (1), v6ops (1), wgchairs (1)
Robert Raszuk                                     	       439	idr (115), ipv6 (111), spring (86), lsr (84), ietf (41), bgp-autoconf (18), grow (15), bess (11), architecture-discuss (7), rtgwg (7), int-area (6), ippm (5), rift (2), v6ops (2), ietf108planning (1), lisp (1), rtg-bfd (1), teas (1)
Ron Bonica                                        	       437	ipv6 (182), srcomp (164), spring (75), v6ops (20), lsr (13), ietf (11), opsec (6), last-call (4), rtg-dir (3), quic (2), int-dir (1), mpls (1), tcpm (1), tls (1)
Robert Moskowitz                                  	       431	tm-rid (257), xml2rfc (64), hipsec (36), cfrg (23), ietf (21), 107attendees (11), 108attendees (11), saag (4), secdir (4), cose (2), ipsec (2), last-call (2), tools-discuss (2), gen-art (1), ipv6 (1), mls (1)
Mirja Kühlewind                                   	       430	quic (46), masque (39), tcpm (32), webtransport (18), tsvwg (17), add (15), manycouches (15), 6lo (13), ietf (13), rfced-future (12), last-call (10), tsv-art (10), wgchairs (10), alto (9), architecture-discuss (9), ntp (9), rmcat (9), babel (8), dtn (8), ietf-and-github (8), maprg (8), wpack (8), taps (7), ietf108planning (6), dmm (5), edm (5), gendispatch (5), ipsec (5), lp-wan (5), hipsec (4), icnrg (4), ippm (4), irtf-announce (4), 6tisch (3), covidimpacts-workshop (3), dns-privacy (3), dnsop (3), lisp (3), mboned (3), nfsv4 (3), pearg (3), rfc-interest (3), tsv-area (3), 108attendees (2), art (2), avt (2), core (2), dnssd (2), eligibility-discuss (2), etosat (2), int-area (2), ipv6 (2), lwip (2), nvo3 (2), nwcrg (2), opsawg (2), saag (2), tm-rid (2), behave (1), cfrg (1), dots (1), ecrit (1), httpapi (1), jmap (1), loops (1), model-t (1), mpls (1), multipathtcp (1), ops-area (1), raw (1), rtgwg (1), secdir (1), spring (1), tools-discuss (1), trans (1), uta (1), v3 (1)
Greg Mirsky                                       	       430	ippm (118), bess (41), spring (40), sfc (34), ipv6 (32), rtg-bfd (31), bier (30), teas-ns-dt (27), last-call (23), detnet (16), mpls (16), rtgwg (12), teas (12), secdir (9), nvo3 (8), lsr (7), pim (6), gen-art (5), raw (5), rtg-dir (5), opsawg (4), tools-discuss (3), ippm-ioam-ix-dt (2), xml2rfc (2), pce (1), rfc-markdown (1), rift (1), xml2rfc-dev (1)
Justin Richer                                     	       411	txauth (322), oauth (75), httpbisa (7), id-event (4), last-call (3), oauth-ext-review (3)
David Schinazi                                    	       409	quic-issues (242), masque (45), quic (40), webtransport (21), babel (19), dnssd (11), tls (10), last-call (9), gen-art (8), httpbisa (6), ietf (3), tsvwg (3), add (2), regext (2), dnsop (1), dots (1), http-grease (1), ice (1), rtgwg (1), secdir (1)
Eliot Lear                                        	       409	rfced-future (174), ietf (43), emu (29), opsawg (27), mud (23), anima (20), architecture-discuss (19), iot-onboarding (18), pearg (14), last-call (12), calsify (11), tls (10), model-t (7), gendispatch (6), suit (6), lwip (5), rfc-interest (5), t2trg (5), spasm (4), wgchairs (4), hrpc (3), iotops (3), mtgvenue (3), rats (3), secdispatch (3), manycouches (2), pkix (2), apn (1), art (1), ietf108planning (1), iot-directorate (1), network-tokens (1), scim (1), tools-development (1), uta (1)
Keith Moore                                       	       397	ietf (236), ietf-smtp (81), gendispatch (31), last-call (19), 108attendees (9), uta (9), manycouches (7), tls (7), ietf-822 (3), architecture-discuss (1), v6ops (1)
Martin Duke                                       	       394	quic (90), tcpm (23), masque (20), tsvwg (20), ippm (14), manycouches (13), roll (13), last-call (12), lisp (12), mmusic (12), quic-issues (12), tsv-area (12), detnet (11), captive-portals (10), wgchairs (10), dtn (9), taps (8), tsv-art (8), alto (7), babel (6), ietf (6), nfsv4 (6), cose (5), httpapi (5), idr (5), lsr (5), 108attendees (4), bmwg (3), dhcwg (3), dnsop (3), extra (3), gen-art (3), httpbisa (3), lp-wan (3), stir (3), bess (2), core (2), hipsec (2), iccrg (2), id-event (2), lwip (2), mpls (2), opsawg (2), sfc (2), tls (2), anima (1), avt (1), dots (1), i2nsf (1), ice (1), ietf108planning (1), loops (1), ntp (1), pce (1), rfc-interest (1), spasm (1), suit (1), txauth (1)
Dr. Joseph D. Touch                               	       389	ietf (114), tcpm (84), tsvwg (74), last-call (32), architecture-discuss (28), int-area (26), tsv-art (26), rfc-interest (19), qirg (10), lp-wan (8), v6ops (8), rfced-future (7), ipsec (5), idr (4), tools-discuss (4), ipv6 (3), bier (2), gen-art (2), mboned (2), multipathtcp (2), pce (2), pim (2), rtgwg (2), secdir (2), taps (2), gendispatch (1), irtf-discuss (1), saag (1)
Gorry Fairhurst                                   	       388	quic-issues (160), tsvwg (118), quic (31), tcpm (28), loops (15), last-call (13), taps (10), tsv-art (6), gen-art (5), v6ops (5), etosat (4), tram (3), wgchairs (3), ipv6 (2), secdir (2), tcpprague (2), iccrg (1), int-area (1), int-dir (1), mboned (1), multipathtcp (1), opsec (1), saag (1)
Dave Crocker                                      	       383	dmarc (262), ietf-smtp (58), ietf-822 (34), emailcore (21), ietf-dkim (5), abnf-discuss (2), dispatch (2), hackathon (2), ietf (1), mailsec (1)
Jay Daley                                         	       381	ietf (176), rfced-future (40), tools-discuss (34), manycouches (31), rfc-interest (28), ietf108planning (27), wgchairs (23), admin-discuss (11), tools-development (10), tools-arch (9), 108attendees (6), 109attendees (5), tools-implementation (5), gendispatch (3), 107attendees (2), mtgvenue (2), xml2rfc (2), architecture-discuss (1), irtf-announce (1), rfc-markdown (1), spring (1), xml2rfc-dev (1)
Mark Nottingham                                   	       378	httpbisa (131), rfced-future (45), quic-issues (35), dispatch (21), ietf (21), last-call (15), rfc-interest (15), quic (14), wgchairs (11), art (9), ietf-and-github (9), architecture-discuss (7), http-grease (7), gen-art (6), gendispatch (6), masque (6), tools-discuss (6), wellknown-uri-review (5), httpapi (4), hls-interest (3), link-relations (3), tools-arch (3), edm (2), jsonpath (2), manycouches (2), media-types (2), xml2rfc (2), anima (1), captive-portals (1), hrpc (1), id-event (1), ietf108planning (1), json (1), rfc-markdown (1), tlp-interest (1), tls (1), tsv-area (1), tsv-art (1), webtransport (1), wpack (1)
Spencer Dawkins                                   	       377	quic (97), ietf (49), cellar (34), panrg (25), masque (23), tsvwg (23), eligibility-discuss (14), wgchairs (14), architecture-discuss (13), mops (13), v3 (10), loops (8), etosat (5), gendispatch (5), icnrg (5), ietf-and-github (5), webtransport (5), tools-discuss (4), 107attendees (3), edm (3), manycouches (3), tsv-area (3), 3gpp-ietf-coord (2), avt (2), cfrg (2), ippm (2), model-t (2), nwcrg (2), dispatch (1), gen-art (1), hipsec (1), httpbisa (1), i-d-announce (1), iccrg (1), int-area (1), irtf-discuss (1), last-call (1), maprg (1), rtgwg (1), saag (1), spring (1), taps (1), tsv-art (1)
Julian Reschke                                    	       371	httpbisa (103), rfc-interest (58), xml2rfc (54), tools-discuss (40), quic-issues (37), ietf (33), last-call (9), rfced-future (9), xml2rfc-dev (9), dispatch (8), rfc-markdown (8), quic (6), jsonpath (4), ietf-and-github (3), art (2), httpapi (2), urn (2), gen-art (1), jose (1), media-types (1)
Marten Seemann                                    	       368	quic-issues (353), quic (13), tls (2)
